season,episode_number,title,airdate,rating,total_votes,desc
1,22,The Art of Discourse,2010-04-29,8.0,2238,"Shirley gets Pierce kicked out the study group, Jeff and Britta plot revenge on a group of high schoolers who make fun of them for attending community college, and Troy helps Abed accomplish some of his movie-clichéd social goals."
1,23,Modern Warfare,2010-05-06,9.8,8207,"Greendale Community College is transformed into an apocalyptic war zone when the dean promises the winner of a paintball competition priority registration, and it could fan the flames of sexual tension between Jeff and Britta."
1,24,English as a Second Language,2010-05-13,8.2,2068,"Annie uses inside information about Señor Chang to get him fired so that the study group will be forced to stay together and take Spanish again. Meanwhile, Troy discovers that he has a natural skill for plumbing."
1,25,Pascal's Triangle Revisited,2010-05-20,8.5,2254,"Jealousy runs rampant at Greendale as Britta and Professor Slater fight for the affection of Jeff. Meanwhile, Troy is confused when his best friend, Abed, doesn't invite him to move into his dorm room."
2,1,Anthropology 101,2010-09-23,8.7,2372,"Jeff and Britta engage in a dangerous game of relationship one-upsmanship in response to Britta's embarrassing moment at the end of the previous school year, which could cause the entire study group to fall apart."
2,2,Accounting for Lawyers,2010-09-30,8.3,2160,"Jeff blows off the study group and their break-dancing competition to hang out with his old co-workers at the law firm, but Annie tries to prove that one of them is the person who turned him in and got him fired."
2,3,The Psychology of Letting Go,2010-10-07,8.1,2087,"Pierce's religion convinces him that the spirit of his dead mother is captured in a cheap lava lamp, Jeff has a crisis of faith when he learns he has high cholesterol, and Britta and Annie try to raise money for the oil spill."
2,4,Basic Rocket Science,2010-10-14,8.7,2454,"Everyone in the study group except Abed is stuck in a crude 1980s space simulator as it is towed off campus, and Abed leads the team given the difficult assignment of bringing them home."
2,5,Messianic Myths and Ancient Peoples,2010-10-21,7.8,2320,"Shirley asks Abed to make a film about Jesus, but he quickly angers Shirley by turning it into a self-indulgent mess. Meanwhile, Pierce begins blowing off the study group to hang out with the ""hipsters."""
2,6,Epidemiology,2010-10-28,9.3,3512,The study group is left to fend for themselves by Dean Pelton during a rabies outbreak due to tainted food at Greendale's Halloween party.
2,7,Aerodynamics of Gender,2010-11-04,8.5,2384,"Britta, Annie and Shirley discover that Abed is skilled at insulting the mean girls, so they use him to their advantage. Meanwhile, Troy and Jeff find a secret garden with a trampoline, which they use for relaxation."
2,8,Cooperative Calligraphy,2010-11-11,9.1,2851,"Chaos and mistrust tear the study group apart as they try to figure out who stole Annie's pen, causing them to miss the Greendale Puppy Parade."
2,9,Conspiracy Theories and Interior Design,2010-11-18,9.4,3519,"Dean Pelton tries to bust Jeff for a phony night school credit, which only unveils a series of conspiracies, plots, and double-crosses between Jeff, Annie, and the dean."
2,10,Mixology Certification,2010-12-02,8.5,2298,"The study group takes Troy out to a bar to celebrate his 21st birthday. While there, Annie assumes a new identity, Abed is propositioned by a man, one of Shirley's secrets is discovered, and Britta and Jeff fight over the ""cool"" bars."
2,11,Abed's Uncontrollable Christmas,2010-12-09,8.8,3120,"When Abed wakes up to discover that everything is in stop motion animation, Professor Duncan and the study group help him try to discover the true meaning of Christmas."
2,12,Asian Population Studies,2011-01-20,8.0,2006,"Annie lobbies for her new crush, who is also Jeff's rival, to join the study group, but a jealous Jeff counters with Chang. Meanwhile, Shirley announces that she's pregnant, but she doesn't know that it could be Chang's."
2,13,Celebrity Pharmacology 212,2011-01-27,7.9,2042,"Pierce bribes Annie into getting him a bigger role in her anti-drug play, Jeff gets in trouble when he sends a lewd text message from Britta's phone, and Shirley rejects Chang's attempts to be friendly to her."
2,14,Advanced Dungeons & Dragons,2011-02-03,9.5,4079,"The study group plays Dungeons & Dragons with another classmate to improve his spirits, but Pierce's jealousies cause their good intentions to backfire."
2,15,Early 21st Century Romanticism,2011-02-10,8.1,2062,"Jeff hangs out with Professor Duncan after a fight with the study group, but Chang tags along and starts a party. Meanwhile, Abed and Troy fight for a librarian's affection, and Britta goes to a dance with a girl she thinks is a lesbian."
2,16,Intermediate Documentary Filmmaking,2011-02-17,8.8,2332,"Pierce pretends to be dying so that he can bequeath a series of cryptic and sometimes mean-spirited gifts to his study partners, and Abed decides to shoot a documentary film of the situation."
2,17,Intro to Political Science,2011-02-24,8.3,2123,"Anticipating a visit from the vice president, dean Pelton holds an election for student body president. An idealistic Annie decides to run, but Jeff decides to run against her to spite her and show how stupid politics can be."
2,18,Custody Law and Eastern European Diplomacy,2011-03-17,7.4,1969,"Jeff uses Shirley's parental rights waiver against Chang as a way to get Chang out of the apartment, while Britta is afraid to tell Abed and Troy that their new friend is a war criminal."
2,19,Critical Film Studies,2011-03-24,9.0,2765,"Jeff's ""Pulp Fiction""-themed surprise party for Abed is spoiled when Abed tells him over dinner that he's done with pop culture. But is this confession actually just part of another movie homage?"
2,20,Competitive Wine Tasting,2011-04-14,7.6,1932,"When a beautiful woman rejects him in favor of Pierce, Jeff is convinced she must have ulterior motives. Meanwhile, Troy invents a painful childhood memory in order to attract Britta, and Abed feuds with his professor over ""Who's the Boss?"""
2,21,Paradigms of Human Memory,2011-04-21,9.1,2777,"As the study group gathers to assemble their 20th and final Anthropology diorama of the year, they begin reminiscing about their favorite times together - including a trip they made to a western ghost town, a last minute glee club performance and the array of costumes that Dean Pelton has managed to wear over the year. Meanwhile, Troy's pet monkey returns, only to disappear back into the school's ventilation system."
2,22,Applied Anthropology and Culinary Arts,2011-04-28,8.0,1938,"When the Anthropology class assembles for their final exam, Shirley notices a twinge, which quickly escalates into full-blown labor. As Jeff and Britta argue about how best to help, Chang is anxious to claim this ""early"" labor as clear evidence that it's a ""Chang Baby!"" Meanwhile, Greendale is hosting a World Food Festival in the parking lot and a riot ensues - Dean Pelton is caught in the crossfire."
2,23,A Fistful of Paintballs,2011-05-05,9.7,4648,"In a ""spaghetti western"" parody, Pierce tries to get revenge on the rest of the study group during this year's paintball tournament."
2,24,For a Few Paintballs More,2011-05-12,9.6,3779,"When the study group learns that there's a sinister plot behind the paintball tournament, they unite the remaining players to defeat the enemy."
3,1,Biology 101,2011-09-22,8.1,2113,"Jeff's plan to keep Pierce out of the Study Group backfires when he gets kicked out instead, Abed copes with bad news about Cougar Town, and Dean Pelton's authority is challenged by another Greendale dean."
3,2,Geography of Global Conflict,2011-09-29,8.1,2060,"When another over-achieving student steals Annie's idea for a Model U.N. club, the Study Group comes to her rescue. Meanwhile, new security cop Chang tries to stop Britta's last-ditch efforts to create a campus disturbance."
3,3,Competitive Ecology,2011-10-06,8.1,2031,"Chaos ensues when the Study Group tries to divide itself up into biology lab partners, and Chang appoints himself security ""detective,"" and tries to solve a mystery that is only in his head."
3,4,Remedial Chaos Theory,2011-10-13,9.8,6854,"At Abed and Troy's housewarming party, Jeff decides to let the decision on who gets the pizza rest on the roll of the dice, leaving Abed to contemplate six alternate realities."
3,5,Horror Fiction in Seven Spooky Steps,2011-10-27,8.8,2387,"During her pre-Halloween party, Britta gets everyone to tell a spooky story so that she can find out which member of the study group scored out as a psychopath on their psychology profiles."
3,6,Advanced Gay,2011-11-03,7.7,1968,"Pierce gets a visit from his bigoted father after his wipes become a hit in the gay community, and the dean of the School of Refrigeration recruits Troy to become his student."
3,7,Studies in Modern Movement,2011-11-10,8.6,2154,"The study group helps Annie move in with Troy and Abed - except for Jeff, who lies to get out of it but is busted by dean Pelton."
3,8,Documentary Filmmaking: Redux,2011-11-17,9.0,2583,"Dean Pelton is given the task to make an updated Greendale television commercial, but the shoot soon goes over budget and spirals out of control, descending the dean into madness--with Abed documenting the entire experience."
3,9,Foosball and Nocturnal Vigilantism,2011-12-01,8.4,2108,"Shirley teaches Jeff foosball so that he can beat a team of cocky, obnoxious Germans, while Annie creates an overly elaborate ruse so that she doesn't have to tell Abed that she broke his special edition The Dark Knight DVD."
3,10,Regional Holiday Music,2011-12-08,8.7,2483,"A holiday-themed parody of ""Glee"" in which Abed tries to persuade each member of the Study Group to join the glee club so that they can qualify for regionals."
3,11,Urban Matrimony and the Sandwich Arts,2012-03-15,7.8,1963,"Pierce comes to Shirley with a business proposal just as she's about to get married to Andre. Meanwhile, Troy and Abed try to act ""normal"" for the wedding, Britta discovers a new skill, and Jeff struggles with his toast."
3,12,Contemporary Impressionists,2012-03-22,8.0,1979,"The members of the Study Group take jobs as celebrity impersonators to pay off Abed's debt to a celebrity impersonator business, but can Jeff be Ryan Seacrest without his fragile ego spiral out of control?"
3,13,Digital Exploration of Interior Design,2012-03-29,8.2,1963,"Shirley and Pierce recruit Britta to sabotage the new Subway restaurant in the cafeteria. Jeff finds a hate-letter in the school locker he never realized he had. Troy and Abed begin constructing a pillow fort, but thanks to some outside manipulation Troy splits off to build his own blanket fort."
3,14,Pillows and Blankets,2012-04-05,9.3,3347,"The United Forts of Pillowtown, headed by Abed, is at war with the Legit Republic of Blanketsburg, ruled by Troy. Annie sets up a hospital zone to treat casualties on both sides. Britta takes a stab at war-photography. Jeff tries to reunite two former friends turned mortal enemies using sarcasm."
3,15,Origins of Vampire Mythology,2012-04-12,8.2,1955,"While Britta struggles to stay away from her old carny boyfriend, Jeff becomes obsessed with their relationship. Meanwhile, the dean stops by Troy and Abed's to recruit Troy for the dean of the school of refrigeration."
3,16,Virtual Systems Analysis,2012-04-19,8.6,2213,The study group takes a three hour lunch. Annie suggests Abed shows her how the Dreamatorium works so Troy and Britta can be together. But their 'Inspector Spacetime' simulation soon turns into a hospital bound drama in which Abed takes on the personalities of the other group members.
3,17,Basic Lupine Urology,2012-04-26,9.5,3246,"Presented like an episode of Law & Order (1990), the study group attempts to find out who squashed their biology project: a yam. Troy and Abed become detectives, Shirley is their boss, Jeff and Annie pose as prosecuting attorneys, while Pierce is an informant and Britta a lab tech."
3,18,Course Listing Unavailable,2012-05-03,8.3,1867,"A fellow student has died and Biology class has been canceled, meaning everyone has to retake it in summer school. When the memorial service turns into a riot, Chang is granted special authoritative powers."
3,19,Curriculum Unavailable,2012-05-10,9.2,2490,"When Abed claims the Dean has been replaced by a doppelgänger he is forced to take psychiatric treatment. Naturally, the rest of the study group joins him at his session with Dr. Heidi."
3,20,Digital Estate Planning,2012-05-17,9.5,3510,"The Study Group must help Hawthorne win a video game so that he can claim his inheritance, but somebody may be out to ensure that he loses."
3,21,The First Chang Dynasty,2012-05-17,9.1,2311,"The Study Group, now known as the ""Greendale Seven,"" launches a plot to rescue the real dean Pelton and end Chang's reign of terror over Greendale."
3,22,Introduction to Finality,2012-05-17,8.8,2108,"Jeff faces an old nemesis as Shirley and Pierce square off in Greendale court, Abed succumbs to his evil alter ego, and Troy decides to meet his destiny at air conditioning school."
4,1,History 101,2013-02-07,7.4,2311,"While the Dean creates a Hunger Games-style competition for admission into a History of Ice Cream class, the final class Jeff needs to graduate and a fear of graduation causes Abed to retreat to his happy place."
4,2,Paranormal Parentage,2013-02-14,7.6,1941,"The study group's Halloween plans are put on hold when Pierce locks himself in the panic room of his ""haunted"" mansion."
4,3,Conventions of Space and Time,2013-02-21,7.3,1887,"At the Inspector SpaceTime Convention, Abed finds a new ""soulmate,"" Jeff discovers he looks like one of the show's villains, Shirley and Pierce join a focus group, and Annie pretends to be Jeff's wife."
4,4,Alternative History of the German Invasion,2013-02-28,7.1,1756,"The Study Group loses access to the study room to the German foosballers, and Chang returns to campus, claiming to be suffering from ""Changnesia."""
4,5,Cooperative Escapism in Familial Relations,2013-03-07,7.5,1783,"While Jeff and Britta spend Thanksgiving with Jeff's newly-discovered father and brother, the rest of the Study Group tries to escape from Shirley's dysfunctional family Thanksgiving celebration."
4,6,Advanced Documentary Filmmaking,2013-03-14,7.5,1710,"Abed makes a new documentary chronicling Greendale's effort to get a research grant for ""Changnesia,"" as well as Jeff's efforts to prove that Chang is faking his disease."
4,7,Economics of Marine Biology,2013-03-21,6.7,1717,"Dean Pelton and Annie try to land a ""whale"" student while Jeff is assigned to keep Pierce occupied. Meanwhile, Troy and Shirley take a physical education education course, and Abed creates a fraternity to annoy the dean."
4,8,Herstory of Dance,2013-04-04,7.9,1844,"While the dean sets up a Sadie Hawkins dance, Britta puts together a competing Sophie B. Hawkins dance. Meanwhile, Abed is set up with two dates to both dances by Annie and Shirley."
4,9,Intro to Felt Surrogacy,2013-04-11,7.0,1985,Dean Pelton prompts the study group to use puppets to relive the traumatic events of a recent adventure.
4,10,Intro to Knots,2013-04-18,7.6,1680,"Jeff organizes a lovely holiday gathering at his apartment but Annie secretly invites Professor Cornwallis, to get in his good graces. When it becomes apparent that Professor Cornwallis intends to give them a bad grade on their joint history paper, the atmosphere quickly deteriorates and the group takes decisive action."
4,11,Basic Human Anatomy,2013-04-25,8.0,1761,"When Annie and Shirley learn that Leonard is actually holding the spot as the class valedictorian, they join forces to bring him down. Meanwhile, Troy and Abed reminisce about one of their favorite body switching films, ""Freaky Friday,"" and when they inadvertently re-enact a critical scene, things start becoming a little funky at Greendale."
4,12,Heroic Origins,2013-05-02,8.2,1842,Abed's research into the study group's history uncovers an overlooked series of chance encounters that led each of them to Greendale.
4,13,Advanced Introduction to Finality,2013-05-09,7.8,1825,A plan to celebrate Jeff's (Joel McHale) early graduation is unexpectedly disrupted by the study group's evil doppelgangers from the Darkest Timeline.
5,1,Repilot,2014-01-02,8.0,2070,"Having failed in his second go-round as a lawyer, and unable to gather evidence for a potential lawsuit against Greendale, Jeff tries to convince the other former members of the Study Group to sue the school."
5,2,Introduction to Teaching,2014-01-02,8.6,2096,"Jeff blows off his new teaching job at Greendale until Annie signs up for his class and forces him to teach, and Abed loses his religion when he takes a course about whether Nicolas Cage is good or bad."
5,3,Basic Intergluteal Numismatics,2014-01-09,9.0,2518,The college is imbued with panic when an unidentified person returns to dropping coins down people's butts and Annie takes it upon herself to find out who is behind it all.
5,4,Cooperative Polygraphy,2014-01-16,9.2,2499,"After Pierce's unexpected passing, a team of investigators headed by the no-nonsense Mr. Stone arrives at Greendale to subject the study group to lie detector tests before they can be considered for distributions under the will."
5,5,Geothermal Escapism,2014-01-23,9.4,2906,"As a going-away present to Troy before his around-the-world trip, Abed sets up a high-stakes game of ""Hot Lava"" at the college, but Britta suspects that the game is just masking his real feelings about Troy's departure."
5,6,Analysis of Cork-Based Networking,2014-01-30,8.2,1802,"Annie and Hickey fight Greendale bureaucracy to install a bulletin board, Abed learns a lesson about sign language, and the others discover the challenges of planning a properly sensitive school dance."
5,7,Bondage and Beta Male Sexuality,2014-02-27,7.9,1591,"Jeff helps Duncan score a date with Britta, and Abed has a Hickey encounter on his way to the movie theater."
5,8,App Development and Condiments,2014-03-06,9.0,2265,"When developers beta test a new app with Greendale students, the campus soon descends into a dystopian society where status is determined by their app standing."
5,9,VCR Maintenance and Educational Publishing,2014-03-13,8.1,1652,"Whilst cleaning the storage room Jeff, Hickey and Shirley find a pile of unused hidden textbooks and plot a way to make the best out of it. Meanwhile, Annie and Abed are trying to find a new roommate."
5,10,Advanced Advanced Dungeons & Dragons,2014-03-20,8.5,1768,"The group proposes a ""sequel"" to Dungeons & Dragons night when they need to get a skeptical professor Hickey to bond with his estranged son."
5,11,G.I. Jeff,2014-04-03,8.0,1847,"The entire group becomes part of the cast of a classic ""G.I. Joe"" cartoon from the 1980s, which turns out to be part of Jeff's coping mechanism as he deals with a monumental life event."
5,12,Basic Story,2014-04-10,7.9,1458,"After a liability audit, the Save Greendale Committee discovered that they have, in fact, saved Greendale - until they discover that as a result of the successful audit, the school is being sold to Subway."
5,13,Basic Sandwich,2014-04-17,8.3,1566,"When the group learns about Greendale's first dean, they embark on a mission to find his old computer lab; Subway enlists Chang to spy on the group as part of its plan to take over the school."
6,1,Ladders,2015-03-17,7.8,1745,Dean Pelton hires an administrative consultant to organize things at Greendale.
6,2,Lawnmower Maintenance & Postnatal Care,2015-03-17,7.7,1594,Jeff and Frankie ask an inventor for help extracting Dean Pelton from his virtual reality world.
6,3,Basic Crisis Room Decorum,2015-03-24,7.8,1486,The Greendale gang goes on the offensive when a rival college releases an attack ad.
6,4,Queer Studies & Advanced Waxing,2015-03-31,8.1,1519,"Dean Pelton is asked to lie; Chang auditions for a stage adaptation of ""The Karate Kid."""
6,5,Laws of Robotics & Party Rights,2015-04-07,7.8,1400,A prisoner attends Greendale via telerobot; Britta tries to get around one of Annie's rules.
6,6,Basic Email Security,2015-04-14,7.8,1422,A hacker threatens to publish emails unless a scheduled appearance by a racist comic is canceled.
6,7,Advanced Safety Features,2015-04-21,7.5,1365,An ex-boyfriend persuades Britta to join a guerilla marketing campaign.
6,8,Intro to Recycled Cinema,2015-04-28,8.0,1377,"The committee, along with a movie producer named Maury, help Abed complete his unfinished film."
6,9,Grifting 101,2015-05-05,7.8,1364,"When a clever clever con man, Professor DeSalvo, uses his class to cheat the study group, they enlist Jeff to get revenge. The situation goes awry as Britta and Dean Pelton get involved in Jeff and Professor DeSalvo's scamming competition."
6,10,Basic RV Repair and Palmistry,2015-05-12,7.6,1360,"While on a road trip to get rid of a Greendale artifact, Abed turns a situation into a feature film."
6,11,Modern Espionage,2015-05-19,9.0,1833,"When a secret game of paintball occurs on campus, Frankie threatens to expel those who participate."
6,12,Wedding Videography,2015-05-26,8.6,1564,A marriage proposal in Jeff's law class exposes a connection between the future bride and groom.
6,13,Emotional Consequences of Broadcast Television,2015-06-02,9.6,3492,"As their sixth year at Greendale draws to a close, Abed asks everyone to imagine pitching a TV show about what they would do in season seven."
